,Episode Number,Title,Plot,Release Date,Average Rating
410,411,Senaka ni Kakusareta Himitsu: Souguu Luffy to Hebihime,Boa Hancock's ship reaches Amazon Lily and she returns to her palace.,"Sun, Aug 2, 2009",7.9
411,412,Hijou no Sabaki! Ishi ni Sareta Margaret!!,"Luffy looks at Boa Hancock's back and notes that he has seen what was on it before. Hancock tries, but fails to turn him to stone with her powers when he mistakes her Mero Mero no Mi abilities for Foxy's Noro Noro Beam.","Sun, Aug 9, 2009",8.4
412,413,Luffy Daikusen! Hebi Shimai no Haki no Chikara!!,Luffy is challenged to battle Boa Marigold and Boa Sandersonia in the Amazon Lily arena with the spectators calling for Luffy to be executed.,"Sun, Aug 16, 2009",9.0
413,414,Nouryoku Zenkai Battle!! Gomugomu Tai Hebihebi,Luffy activates Gear Second and is currently taking the lead.,"Sun, Aug 23, 2009",8.7
414,415,Hancock no Kokuhaku: Shimai no Imawashiki Kako,Hancock decides to test Luffy by giving him an ultimatum: either he gets a ship so he can leave the island while the girls remain statues or she changes them back and Luffy finds another way to the archipelago.,"Sun, Aug 30, 2009",8.9
415,416,Ace o Sukue! Arata na Mokutekichi wa Daikangoku,"Following a party, Luffy learns from Nyon that Hancock is a Shichibukai, and that they have been called together as the Marines is launching an all-out offensive on Whitebeard.","Sun, Sep 6, 2009",8.5
416,417,Koi wa Hurricane! Meromero Hancock,"When Nyon visits Hancock, she deduces her illness and when she mentions Luffy wishes to see her, this causes Hancock to get up and speak with him.","Sun, Sep 13, 2009",8.5
417,418, Nakama-tachi no Yukue: Tenkou no Kagaku to Karakurijima,"Nami and Franky story, where they landed and what did they do.","Sun, Sep 20, 2009",7.5
418,419, Nakama-tachi no Yukue: Kyochou no Shima to Momoiro no Rakuen!,"Sanji and Chopper story, where they landed and what did they do.","Sun, Sep 27, 2009",7.1
419,420, Nakama-tachi no Yukue: Shima o Tsunagu Hashi to Shokujin Shokubutsu,"Robin and Usopp story, where they landed and what did they do.","Sun, Oct 4, 2009",7.5
420,421, Nakama-tachi no Yukue: Negative Princess to Akuma Ou,"Zoro and Brook story, where they landed and what did they do.","Sun, Oct 11, 2009",7.6
421,422,Kesshi no Sennyuu! Kaitei Kangoku Impel Down Sennyuu!,"Vice Admiral Garp talked proudly to Ace at Impel Down about some of Luffy's actions, and mentions that they both have the blood of a world class criminal.","Sun, Oct 18, 2009",7.8
422,423,Jigoku de Saikai!? Bara Bara no Mi no Jitsuryokusha!,"Hancock turns Domino to stone before she can undergo the body-check, allowing Luffy to escape into the prison.","Sun, Oct 25, 2009",7.9
423,424,Yabure! Guren Jigoku: Buggy no Dohade Daisakusen,"Buggy and Luffy fight their way through to the entrance of Level 2 by going through Level 1, Crimson Hell, where the lowest ranking criminals are held.","Sun, Nov 1, 2009",7.8
424,425,Kangoku Saikyou no Otoko! Doku Ningen Magellan Toujou,"Hancock and the others finally reach the office of Magellan, a large man who has eaten the Doku Doku no Mi.","Sun, Nov 8, 2009",7.8
425,426,Eiga Rendou Special: Ugokidasu Kinjishi no Yabou,"Luffy, Zoro, Usopp, and Sanji arrive on an island called Little East Blue, a smaller version of the East Blue, which is where they met each other.","Sun, Nov 15, 2009",6.6
426,427,Eiga Rendou Special: Nerawareta Little East Blue,"Luffy, Sanji, Zoro, and Usopp arrive on the island and go to their favorite places in the East Blue.","Sun, Nov 22, 2009",6.3
427,428,Eiga Rendou Special: Amigo Kaizokudan no Moukou,Largo uses his devil fruit power to create nets from his body and trap Zoro and Sanji.,"Sun, Nov 29, 2009",6.3
428,429,Eiga Rendou Special: Kessen! Luffy Tai Largo,"After escaping from the net, Luffy knocks Largo far away and goes off to fight him.","Sun, Dec 6, 2009",6.3
429,430,Toraware no Ouka Shichibukai! Kaikyou no Jinbee,"Luffy and Buggy find Galdino and together they continue to fight through Level 2 of Impel Down, hounded by both Manticores and Puzzle Scorpions.","Sun, Dec 13, 2009",7.7
430,431, Roubanchou Saldeath no Wana: Level 3 Kiga Jigoku,"Luffy, Buggy, and Galdino find themselves on Level 3, a barren floor of extreme heat.","Sun, Dec 20, 2009",7.6
431,432, Tokihanatareta Swan! Saikai! Bon Clay,The prison staff and Hancock finally arrive on the floor where Ace is being held.,"Sun, Dec 27, 2009",7.9
432,433,Shochou Magellan Ugoku: Kansei! Mugiwara Houimou,"Magellan finally receives word of Luffy's break-in, and decides to gather his forces to Level 4, to cut off Luffy and his allies.","Sun, Jan 10, 2010",8.0
433,434, Zensenryoku Shuuketsu! Level 4 Shounetsu Jigoku no Kessen,Luffy and his team fall to the hot fire while Magellan works out the plan to capture them.,"Sun, Jan 17, 2010",7.6
434,435,Magellan Tsuyoshi! Bon Clay Tekizen Toubou,"Luffy begins fighting Magellan despite Bentham's warnings to flee, and finds that he is unable to go on the offensive because of Magellan's poisonous body and long-range poison attacks.","Sun, Jan 24, 2010",8.1
435,436,Shiyuu Kessu! Sutemi no Luffy Saigo no Ichigeki,Magellan has Luffy backed into a corner and is using his devil fruit powers to poison Luffy.,"Sun, Jan 31, 2010",8.2
436,437,Dachi Dakara: Bon Clay Kesshi no Kyuushutsukou,Luffy is thrown into a cell where he is left to die of poisoning.,"Sun, Feb 7, 2010",8.0
437,438,Jigoku ni Rakuen! Impel Down Level 5.5,Mr. 2 apologizes for abandoning Luffy and searches for Ivankov.,"Sun, Feb 14, 2010",7.5
438,439,Luffy Chiryou Kaishi: Ivan-san Kiseki no Chikara!!,"Emporio Ivankov displays some of his powers, including stopping a vengeful pirate's cannon shot merely by winking.","Sun, Feb 21, 2010",7.3
439,440,Kiseki o Shinjite! Bon Clay Tamashii no Seien,Bentham learns that Ivankov has the ability to control hormones.,"Sun, Feb 28, 2010",7.7
440,441,Luffy Fukkatsu! Iwa-san Datsugoku Keikaku Shidou!!,"As Luffy is finally revived, he is informed by Emporio Ivankov about Iva's background.","Sun, Mar 7, 2010",7.8
441,442,Ace Gosou Kaishi: Saikasou Level 6 no Koubou!,"When Luffy made it to Level 6 with Ivankov and Inazuma, they met up with the former cellmate of Ace, Jinbe.","Sun, Mar 14, 2010",8.1
442,443,Saikyou Team Kessei: Shinkan! Inpel Down,"Luffy is reluctant to free Crocodile, but Ivankov offers to keep him in line by blackmailing him with a weakness he knows about.","Sun, Mar 21, 2010",8.1
443,444,Saranaru Konran! Kurohige Teach Shuurai!,"While Luffy and his allies continue fighting on Level 4 of Impel Down, Buggy and Mr. 3 reach Level 2 and release the prisoners there to cause a riot to cover their escape.","Sun, Mar 28, 2010",8.1
444,445,Kiken na Deai! Kurohige to Ame no Shiryuu,"The Jailer Beasts arrive and overpower many of the prisoners, but Luffy, Jinbe and Crocodile defeat them in a single attack each.","Sun, Apr 4, 2010",7.8
445,446,Iji demo Taorenu! Honki no Hannyabaru,"Luffy fights Hannyabal who tries to stop the escapees, but then Blackbeard shows up and breaks up the fight between Luffy and Hannyabal.","Sun, Apr 11, 2010",8.3
446,447,Ikari no Jet Pistol: Luffy vs Kurohige,"Although Luffy wants a proper battle with Blackbeard, Jinbe reminds him there's no time for that as Ace's execution will occur in only a few short hours.","Sun, Apr 18, 2010",9.0
447,448,Magellan o Tomero! Iva-san Ougi Sakuretsu,"Luffy and the other prisoners are getting closer to the surface, having made it through levels 3 and 2.","Sun, Apr 25, 2010",7.9
448,449,Magellan no Kisaku! Habamareta Datsugoku Keikaku,"Luffy becomes enraged after learning about Magellan defeating Emporio Ivankov and Inazuma, but Mr. 2 and Jinbe persuade him that escaping takes priority.","Sun, May 2, 2010",8.1
449,450,"Datsugoku Team Zettaizetsumei: Kinjite ""Venom Demon""","Jinbe, Crocodile and Daz Bones finally secure a Marine vessel to escape with. Meanwhile, Luffy continues his fight against Magellan, with the assistance of Galdino's Doru Doru no Mi powers.","Sun, May 9, 2010",8.9
450,451,Okose Saigo no Kiseki: Seigi no Mon o Toppa Seyo,"Bentham puts himself on the line to save Luffy and the others, by disguising himself as Warden Magellan.","Sun, May 16, 2010",9.2
451,452,Mezase Kaigun Honbu: Ace Kyuushutsu e no Funade!,Shiliew saves Blackbeard and his crew by giving them antidotes to Magellan's poison before taking the opportunity to join with them.,"Sun, May 23, 2010",7.9
452,453, Nakama-tachi no Yukue: Weatheria Report to Cyborg Animal,"As Luffy's ship heads to the Marine Headquarters, the scene shifts to a point some time in the past.","Sun, May 30, 2010",7.1
453,454, Nakama-tachi no Yukue: Kyochou no Hina to Momoiro no Taiketsu,Sanji is chased by okamas to Caroline - the queen's stand in.,"Sun, Jun 6, 2010",6.4
454,455, Nakama-tachi no Yukue: Kakumeigun to Boushoku no Mori no Wana!,Robin was captured by the guards of Tequila Wolf and was sent to the Prison Tower.,"Sun, Jun 13, 2010",7.1
455,456, Nakama-tachi no Yukue: Kyodai na Bohyou to Pantsu no On,"While heading to the sea to return to the Sabaody Archipelago, Zoro and Perona stumble upon an enormous tombstone. Brook decides he has to wait to find Luffy and the others until he can fulfill his debt to the people of Harahettania.","Sun, Jun 20, 2010",7.1
456,457, Marineford Chokuzen Kaisou Special: Kyoudai no Chikai!,Luffy recalls his childhood with Ace and meeting Marshall D. Teach in Jaya without knowing who he was.,"Sun, Jun 27, 2010",6.7
457,458, Marineford Chokuzen Kaisou Special: Shuuketsu! San Taishou,"While Luffy's on his way to rescue Ace, everyone at Marine Headquarters gets ready for the execution.","Sun, Jul 11, 2010",6.7
458,459,Kessen no Toki Semaru! Kaigun Saikyou no Fujin Kansei!,Only three hours remain until Ace's execution. Luffy reaches Marineford but finds the Gates of Justice closed.,"Sun, Jul 18, 2010",9.1
459,460,Kyodai Kantai Arawaru: Shuurai! Shirohige Kaizokudan,The world is shocked by the revelation of Ace's father's identity.,"Sun, Aug 1, 2010",9.1
460,461,Kessen no Makuake! Ace to Shirohige no Kako,Whitebeard reveals his Devil Fruit powers in front of the Marines.,"Sun, Aug 8, 2010",9.2
461,462,Sekai o Horobosu Chikara! Guragura no Mi no Nouryoku,The sea-quakes made by Whitebeard cause a tsunami to come upon Marineford.,"Sun, Aug 15, 2010",9.1
462,463,Subete o Yakitsukusu!! Taishou Akainu no Chikara!,"All the various Whitebeard Commanders show off their skills and abilities, as do some Marines.","Sun, Aug 22, 2010",9.2
463,464,Majin no Shison! Little Oars Jr. Bakushin!,"Oars Jr. goes straight for Ace, but the Giant Squad attempts to stop him without much success.","Sun, Aug 29, 2010",9.1
464,465,Shousha dake ga Seigi Hatsudou! Sengoku no Sakusen!,"Koby and Helmeppo attempted to flee from the war after feeling too overwhelmed by the deaths and chaos, but stumbled upon Akainu and an apparent plan by Sengoku.","Sun, Sep 5, 2010",9.3
465,466,Mugiwara Team Touchaku Fuunkyuu o Tsugeru Senjou,Luffy finally shows up together with his formed alliance from the escaped prisoners of Impel Down.,"Sun, Sep 12, 2010",9.4
466,467,Shinde mo Tasukeru: Luffy vs Kaigun Battle Start,"With Luffy as their inspiration, the other pirates fight back with renewed vigor.","Sun, Sep 19, 2010",9.3
467,468,Gekisen no Renzoku! Nouryokusha Gundan VS Nouryokusha Gundan,"One battle after another, it is complete chaos out on the battlefield.","Sun, Sep 26, 2010",9.2
468,469,Kuma ni Okita Ihen Iva-san Ikari no Ichigeki,"Luffy receives the key to Ace's handcuffs from Hancock, who then fantasizes about a wedding ceremony held on Amazon Lily.","Sun, Oct 3, 2010",9.0
469,470,Kengou Mihawk Luffy ni Semaru Kokutou no Zangeki,"Luffy stumbles upon Mihawk, whom he tries to avoid.","Sun, Oct 10, 2010",9.2
470,471,Senmetsu Sakusen Shidou: Pacifista Gundan no Iryoku,The Pacifista enter Marineford as part of Sengoku's plan to win the war against Whitebeard.,"Sun, Oct 17, 2010",9.1
471,472,Akainu no Bouryaku! Otoshiirerareta Shirohige,"As Squard stabs Whitebeard, the pirates and even marines in the war are shocked due to his betrayal.","Sun, Oct 24, 2010",9.2
472,473,Houiheki Sadou! Shirohige Kaizokudan Zettaizetsumei!!,"In a desperate attempt to stop Whitebeard from advancing to the execution platform, the Marines activate walls to block Whitebeard's path, but gets stopped by the ice.","Sun, Oct 31, 2010",9.2
473,474,Shokei Shikkou Shirei Kudaru: Houiheki o Toppa Seyo!,"Akainu's Meteor Volcano melts the nearly all the ice and destroys the Whitebeard Pirates' ships, dropping them into boiling water, enabling the cannons on the wall to bombard them while the Pacifistas block the way out.","Sun, Nov 7, 2010",9.4
474,475,Saishuu Kyokumen Totsunyuu! Shirohige Kishikaisei no Itte,"Luffy attempts to slip past the admirals, but Kizaru easily catches up to him and knocks him to the ground.","Sun, Nov 14, 2010",9.3
475,476,Luffy Chikaratsuku! Oris Hiroba no Souryokusen!!,"Ace thinks back to his childhood, when he fought with anyone who spoke ill of Roger, and wondering if he should ever have been born.","Sun, Nov 21, 2010",9.2
476,477,Inochi o Kezuru Chikara: Tension Hormone Futatabi,Whitebeard falters for a moment as a result of his age and physical condition.,"Sun, Nov 28, 2010",9.1
477,478,Yakusoku no Tame ni!! Gekitou! Luffy to Coby,Luffy with his newly restored strength continues on to the execution platform to save Ace and is warned by Ivankov that the hormones only trick his body.,"Sun, Dec 5, 2010",9.3
478,479,Shokeidai Mokuzen! Hirakareta Ace e no Michi!!,Luffy uses Haki unintentionally just as Ace is about to be executed.,"Sun, Dec 12, 2010",9.2
479,480,Sorezore no Eranda Michi: Luffy vs Garp!,"Luffy unwillingly hits Garp, who is blocking his way to Ace. As Garp falls, the bridge crumbles.","Sun, Dec 19, 2010",9.5
480,481,Ace Kyuushutsu! Shirohige Saigo no Senchou Meirei!,Ace is freed at last as he and Luffy fight their way back to escape from Marineford.,"Sun, Dec 26, 2010",9.5
481,482,Hi o mo Yaki Tsukusu Chikara: Akainu Hijou no Tsuigeki,Whitebeard aims to take down the whole of Marineford and orders his crew and the other pirates to flee.,"Sun, Jan 9, 2011",9.6
482,483,Kotae o Sagashite: Hiken Ace Senjou ni Shisu,An eerie silence falls over the battlefield as Luffy and Ace share a heartbreaking final moment together.,"Sun, Jan 16, 2011",9.5
483,484,Kaigun Honbu Houkai! Shirohige Kotobanaki Ikari!,"Luffy's has a breakdown due to the emotional trauma of Ace's death, causing Jinbe to take him away.","Sun, Jan 23, 2011",9.5
484,485,Kejime o Tsukeru: Shirohige vs Kurohige Kaizokudan,"Blackbeard and his pirates arrive in Marineford, as they are taken down from the execution platform by Whitebeard.","Sun, Jan 30, 2011",9.5
485,486,Show no Kaimaku: Akasareta Kurohige no Takurami,The news of Whitebeard's death is already spreading all over the world. Silvers Rayleigh also hears the news.,"Sun, Feb 6, 2011",9.4
486,487,Akainu no Shuunen! Luffy o Osou Magma no Kobushi,"Blackbeard expresses his desire to sink Marineford into the ocean after destroying the fortress, but Sengoku attacks him, saying that the island is a symbol of justice in the world.","Sun, Feb 13, 2011",9.2
487,488,Hisshi no Sakebi: Unmei o Kaeru Yuuki Aru Suubyou,"The fight in Marineford still rages on, as Trafalgar Law arrives to rescue Luffy.","Sun, Feb 20, 2011",9.5
488,489,Shanks Kenzan! Choujou Sensou Tsui ni Shuuketsu,Law and his crew take Jinbe and Luffy inside their submarine.,"Sun, Mar 6, 2011",9.5
